년도,구 분,승용,승합,화물,특수
2012,서 울,7858,1670,3302,157
2012,부 산,2782,624,2010,996
2012,대 구,2107,381,1597,109
2012,인 천,2136,532,1652,395
2012,광 주,995,184,783,118
2012,대 전,1315,247,888,77
2012,울 산,901,161,660,175
2012,세종,77,19,114,4
2012,경 기,8768,2736,6489,546
2012,강 원,1080,318,789,64
2012,충 북,1002,286,970,192
2012,충 남,1358,422,1352,156
2012,전 북,1358,339,1401,143
2012,전 남,1263,479,1535,425
2012,경 북,1858,504,1864,358
2012,경 남,3136,801,2220,418
2012,제 주,529,131,283,8
2013,서 울,7689,1598,3292,169
2013,부 산,2746,600,2032,1035
2013,대 구,2132,360,1626,112
2013,인 천,2368,536,1688,410
2013,광 주,1009,179,826,114
2013,대 전,1314,238,915,85
2013,울 산,916,158,676,175
2013,세 종,85,23,124,4
2013,경 기,8784,2738,6665,550
2013,강 원,1065,315,811,69
2013,충 북,1000,275,996,188
2013,충 남,1357,415,1404,154
2013,전 북,1353,340,1472,145
2013,전 남,1289,479,1620,417
2013,경 북,1863,491,1955,352
2013,경 남,3036,779,2261,435
2013,제 주,580,135,305,9
2014,서 울,7410,1704,3453,182
2014,부 산,2735,593,2114,1090
2014,대 구,2248,389,1710,115
2014,인 천,2958,587,1788,431
2014,광 주,1078,195,885,121
2014,대 전,1384,254,990,92
2014,울 산,968,181,698,196
2014,세 종,120,28,128,6
2014,경 기,9397,2777,7302,572
2014,강 원,1124,311,845,81
2014,충 북,1069,286,1057,225
2014,충 남,1484,423,1505,171
2014,전 북,1446,333,1496,152
2014,전 남,1449,457,1638,430
2014,경 북,2014,467,1999,358
2014,경 남,3166,716,2367,461
2014,제 주,809,170,325,10
2015,서 울,7568,1631,3379,185
2015,부 산,2857,574,2097,1092
2015,대 구,2330,367,1687,112
2015,인 천,3290,577,1784,429
2015,광 주,1125,193,877,111
2015,대 전,1426,237,994,95
2015,울 산,1013,177,711,192
2015,세 종,174,30,133,6
2015,경 기,9953,2782,7392,558
2015,강 원,1185,321,857,77
2015,충 북,1133,296,1087,224
2015,충 남,1569,445,1516,167
2015,전 북,1526,357,1513,149
2015,전 남,1603,481,1667,420
2015,경 북,2119,465,2042,352
2015,경 남,3280,726,2367,454
2015,제 주,945,174,339,11
2016,서 울,7528,1614,3550,205
2016,부 산,2908,562,2143,1149
2016,대 구,2353,363,1730,118
2016,인 천,3474,585,1875,472
2016,광 주,1137,189,917,116
2016,대 전,1442,237,1067,101
2016,울 산,1025,173,719,200
2016,세 종,214,31,138,7
2016,경 기,10471,2811,7898,624
2016,강 원,1233,329,899,88
2016,충 북,1173,300,1123,248
2016,충 남,1643,449,1599,191
2016,전 북,1558,355,1568,165
2016,전 남,1732,490,1761,454
2016,경 북,1995,435,1979,221
2016,경 남,3411,736,2472,487
2016,제 주,1029,177,373,14
2017,서 울,6561,1790,2876,152
2017,부 산,2835,670,1817,896
2017,대 구,2489,470,1568,95
2017,인 천,3529,656,1566,345
2017,광 주,1278,248,869,96
2017,대 전,1329,266,847,78
2017,울 산,1000,198,590,136
2017,세 종,205,34,115,5
2017,경 기,8570,2980,6200,404
2017,강 원,1110,376,766,59
2017,충 북,1292,392,999,155
2017,충 남,1536,507,1263,134
2017,전 북,1433,402,1230,117
2017,전 남,1610,598,1420,328
2017,경 북,1943,571,1728,296
2017,경 남,2684,769,1880,336
2017,제 주,1290,231,384,12
2018,서 울,6904,1601,3201,168
2018,부 산,3005,601,1928,975
2018,대 구,2402,417,1625,102
2018,인 천,3216,574,1585,363
2018,광 주,1417,222,999,113
2018,대 전,1296,235,898,86
2018,울 산,935,189,597,143
2018,세 종,254,39,126,7
2018,경 기,8473,3017,6609,450
2018,강 원,1084,329,790,64
2018,충 북,1228,359,1023,189
2018,충 남,1545,502,1379,153
2018,전 북,1319,320,1289,128
2018,전 남,1598,525,1501,363
2018,경 북,1857,518,1860,318
2018,경 남,2593,699,1989,364
2018,제 주,1380,216,397,12
2019,서 울,6784,1351,3075,161
2019,부 산,3059,480,1886,976
2019,대 구,2406,337,1565,97
2019,인 천,3335,443,1544,348
2019,광 주,1421,192,972,120
2019,대 전,1291,197,878,82
2019,울 산,940,144,576,148
2019,세 종,282,33,129,7
2019,경 기,8658,2060,6434,429
2019,강 원,1110,268,774,61
2019,충 북,1267,293,1027,176
2019,충 남,1580,389,1361,145
2019,전 북,1341,279,1273,120
2019,전 남,1627,430,1486,357
2019,경 북,1897,396,1835,312
2019,경 남,2644,556,1953,364
2019,제 주,1547,172,386,11
2020,서 울,6518,1313,2931,149
2020,부 산,3029,484,1827,927
2020,대 구,2357,351,1487,96
2020,인 천,3248,475,1501,330
2020,광 주,1403,179,969,112
2020,대 전,1258,199,854,76
2020,울 산,23,159,559,138
2020,세 종,293,36,126,6
2020,경 기,8728,2557,6302,409
2020,강 원,1111,263,763,56
2020,충 북,1270,309,1007,170
2020,충 남,1571,404,1336,136
2020,전 북,1320,273,1252,113
2020,전 남,1666,442,1479,346
2020,경 북,1868,423,1811,294
2020,경 남,2708,584,1906,347
2020,제 주,1423,219,376,10